Model,RMSE,MAE,MAPE
SARIMA,2201464.6662145494,1781039.2146881544,10.020539249753334
SARIMAX,59383.72041835745,16454.175194379983,0.0936753553366995
Prophet,1932626.5745343158,1499561.8737108954,8.566540424920687
LSTM,2200954.1188783376,1803448.25,9.813127913008747
